PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Charlie Wright,Coachella Valley Firebirds,32,0,1,1,0.031,0,0.03,0.125,-4,https://www.eliteprospects.com/player/475351/charlie-wright
Roman Schmidt,totals,33,0,1,1,0.03,0,0.03,2.182,-10,https://www.eliteprospects.com/player/417192/roman-schmidt
Mats Lindgren,Bakersfield Condors,0,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/635389/mats-lindgren
Ryan McCleary,Toronto Marlies,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/483627/ryan-mccleary
Lachlan Getz,Springfield Thunderbirds,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/418276/lachlan-getz
Sullivan Mack,Hartford Wolf Pack,1,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/415811/sullivan-mack
Ethan Leyh,Chicago Wolves,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/407590/ethan-leyh
Kaleb Pearson,Texas Stars,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/391108/kaleb-pearson
Nicklas Andrews,Grand Rapids Griffins,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/359528/nicklas-andrews
Tyler Weiss,Chicago Wolves,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/355485/tyler-weiss
Chad Nychuk,Milwaukee Admirals,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/351204/chad-nychuk
Xavier Bernard,Calgary Wranglers,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/335702/xavier-bernard
Brooklyn Kalmikov,Providence Bruins,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/290173/brooklyn-kalmikov
Antonio Venuto,Cleveland Monsters,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/283955/antonio-venuto
Garrett Pyke,Hershey Bears,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/273731/garrett-pyke
Christopher Brown,Providence Bruins,1,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/248309/christopher-brown
Andrew Mangiapane,Bakersfield Condors,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/223199/andrew-mangiapane
Caleb Jones,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/199902/caleb-jones
Brody Lamb,Hartford Wolf Pack,1,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/623805/brody-lamb
Justin Janicke,Coachella Valley Firebirds,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/583032/justin-janicke
Landon McCallum,Coachella Valley Firebirds,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/582562/landon-mccallum
Sam Sedley,Belleville Senators,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/525665/sam-sedley
Brent Johnson,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/512370/brent-johnson
Tommy Budnick,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,2,0,https://www.eliteprospects.com/player/574823/tommy-budnick
Anthony Romano,Springfield Thunderbirds,1,0,0,0,0,0,0,2,0,https://www.eliteprospects.com/player/438110/anthony-romano
Max Graham,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,9,0,https://www.eliteprospects.com/player/650079/max-graham
Will Riedell,Providence Bruins,2,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/353791/will-riedell
Tarun Fizer,Springfield Thunderbirds,2,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/413326/tarun-fizer
Jackson Berezowski,Coachella Valley Firebirds,2,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/403435/jackson-berezowski
Hunter Johannes,Lehigh Valley Phantoms,2,0,0,0,0,0,0,0,2,https://www.eliteprospects.com/player/379289/hunter-johannes
Chris Douglas,Rochester Americans,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/350210/chris-douglas
Zachary Okabe,Abbotsford Canucks,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/337754/zachary-okabe
Massimo Rizzo,totals,2,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/286939/massimo-rizzo
Cole Krygier,Charlotte Checkers,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/283959/cole-krygier
Kyler Kupka,Hershey Bears,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/201358/kyler-kupka
Brandon Hawkins,Grand Rapids Griffins,2,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/101957/brandon-hawkins
Dyllan Gill,Syracuse Crunch,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/573869/dyllan-gill
Romain Rodzinski,Syracuse Crunch,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/534608/romain-rodzinski
Deni Goure,Chicago Wolves,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/505395/deni-goure
Ben Zloty,Manitoba Moose,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/475290/ben-zloty
Ryan McGuire,Iowa Wild,2,0,0,0,0,0,0,1,-2,https://www.eliteprospects.com/player/201890/ryan-mcguire
Martin Pospisil,Calgary Wranglers,2,0,0,0,0,0,0,1,-3,https://www.eliteprospects.com/player/341691/martin-pospisil
Darick Louis-Jean,Laval Rocket,2,0,0,0,0,0,0,1,0,https://www.eliteprospects.com/player/382390/darick-louis-jean
Jake Murray,totals,2,0,0,0,0,0,0,1,0,https://www.eliteprospects.com/player/503980/jake-murray
Troy Murray,Springfield Thunderbirds,2,0,0,0,0,0,0,2.5,-1,https://www.eliteprospects.com/player/360750/troy-murray
Maxim Barbashyov,Tucson Roadrunners,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/699160/maxim-barbashyov
Brayden Edwards,Wilkes-Barre/Scranton Penguins,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/636658/brayden-edwards
Matthew Andonovski,Belleville Senators,3,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/619149/matthew-andonovski
Ben Meehan,Lehigh Valley Phantoms,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/499017/ben-meehan
Ilya Solovyov,Colorado Eagles,3,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/490245/ilya-solovyov
Matthew Sop,Iowa Wild,3,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/538401/matthew-sop
Owen Lindmark,San Diego Gulls,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/315962/owen-lindmark
Jayden Lee,Abbotsford Canucks,3,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/351553/jayden-lee
Elias Pettersson,Abbotsford Canucks,3,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/641020/elias-pettersson
Artur Cholach,Henderson Silver Knights,3,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/467724/artur-cholach
Drew Elliott,San Diego Gulls,3,0,0,0,0,0,0,1.667,-1,https://www.eliteprospects.com/player/417740/drew-elliott
Noah Powell,Lehigh Valley Phantoms,3,0,0,0,0,0,0,1.667,0,https://www.eliteprospects.com/player/674718/noah-powell
Zach Berzolla,Springfield Thunderbirds,3,0,0,0,0,0,0,2,-1,https://www.eliteprospects.com/player/291858/zach-berzolla
Terrell Goldsmith,Tucson Roadrunners,3,0,0,0,0,0,0,2.333,1,https://www.eliteprospects.com/player/638604/terrell-goldsmith
Samuel Mayer,Henderson Silver Knights,4,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/479856/samuel-mayer
Ian Moore,San Diego Gulls,4,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/201746/ian-moore
Sam Stevens,Toronto Marlies,4,0,0,0,0,0,0,0.5,-1,https://www.eliteprospects.com/player/315953/sam-stevens
Danny Katic,Belleville Senators,4,0,0,0,0,0,0,0.5,-1,https://www.eliteprospects.com/player/313394/danny-katic
Colin Swoyer,Cleveland Monsters,4,0,0,0,0,0,0,0.5,0,https://www.eliteprospects.com/player/271345/colin-swoyer
Roman Kinal,San Diego Gulls,5,0,0,0,0,0,0,0,2,https://www.eliteprospects.com/player/311067/roman-kinal
Jack Bar,San Jose Barracuda,5,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/503032/jack-bar
Stevie Leskovar,Iowa Wild,5,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/526026/stevie-leskovar
Emil Hemming,Texas Stars,5,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/689033/emil-hemming
Will MacKinnon,Cleveland Monsters,5,0,0,0,0,0,0,0.4,0,https://www.eliteprospects.com/player/285412/will-mackinnon
Lukas Sillinger,Iowa Wild,5,0,0,0,0,0,0,0.4,-1,https://www.eliteprospects.com/player/287466/lukas-sillinger
Jacob Dion,Laval Rocket,5,0,0,0,0,0,0,0.4,-2,https://www.eliteprospects.com/player/410556/jacob-dion
Reece Newkirk,Syracuse Crunch,5,0,0,0,0,0,0,1.4,1,https://www.eliteprospects.com/player/351979/reece-newkirk
John Gormley,San Jose Barracuda,5,0,0,0,0,0,0,1.4,0,https://www.eliteprospects.com/player/519987/john-gormley
Landon Sim,Toronto Marlies,5,0,0,0,0,0,0,2.8,-2,https://www.eliteprospects.com/player/563410/landon-sim
Scott Reedy,Bridgeport Islanders,6,0,0,0,0,0,0,0,-5,https://www.eliteprospects.com/player/269301/scott-reedy
James Stefan,Bakersfield Condors,6,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/480110/james-stefan
Chongmin Lee,Cleveland Monsters,6,0,0,0,0,0,0,0.333,1,https://www.eliteprospects.com/player/325427/chongmin-lee
Gavin Hain,Hartford Wolf Pack,6,0,0,0,0,0,0,0.333,-3,https://www.eliteprospects.com/player/354061/gavin-hain
Kevin Wall,Springfield Thunderbirds,6,0,0,0,0,0,0,0.333,-1,https://www.eliteprospects.com/player/355153/kevin-wall
Artyom Guryev,Lehigh Valley Phantoms,6,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/617884/artyom-guryev
Anthony Kehrer,Springfield Thunderbirds,7,0,0,0,0,0,0,0,-3,https://www.eliteprospects.com/player/201954/anthony-kehrer
Chase Wheatcroft,Texas Stars,8,0,0,0,0,0,0,0.5,1,https://www.eliteprospects.com/player/506229/chase-wheatcroft
Reece Vitelli,Manitoba Moose,8,0,0,0,0,0,0,0.625,2,https://www.eliteprospects.com/player/351365/reece-vitelli
Christian Felton,Abbotsford Canucks,9,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/325238/christian-felton
Jackson Edward,totals,9,0,0,0,0,0,0,0.222,2,https://www.eliteprospects.com/player/672923/jackson-edward
Anton Lundmark,Charlotte Checkers,9,0,0,0,0,0,0,0.444,-2,https://www.eliteprospects.com/player/350424/anton-lundmark
Braden Doyle,Chicago Wolves,9,0,0,0,0,0,0,1.667,0,https://www.eliteprospects.com/player/385678/braden-doyle
Tag Bertuzzi,Utica Comets,11,0,0,0,0,0,0,0,-3,https://www.eliteprospects.com/player/279765/tag-bertuzzi
Matt Brown,Bakersfield Condors,11,0,0,0,0,0,0,0.182,-1,https://www.eliteprospects.com/player/381804/matt-brown
Jett Jones,Springfield Thunderbirds,11,0,0,0,0,0,0,0.364,-6,https://www.eliteprospects.com/player/442336/jett-jones
Sawyer Boulton,Lehigh Valley Phantoms,11,0,0,0,0,0,0,1.818,-1,https://www.eliteprospects.com/player/637562/sawyer-boulton
Loke Johansson,Providence Bruins,12,0,0,0,0,0,0,0.333,3,https://www.eliteprospects.com/player/719598/loke-johansson
Vincent Sevigny,totals,14,0,0,0,0,0,0,0.429,7,https://www.eliteprospects.com/player/410874/vincent-sevigny
Max Wanner,Providence Bruins,18,0,0,0,0,0,0,0.389,5,https://www.eliteprospects.com/player/414967/max-wanner
Dawson Barteaux,Manitoba Moose,18,0,0,0,0,0,0,0.889,-6,https://www.eliteprospects.com/player/285046/dawson-barteaux
Kale Kessy,Springfield Thunderbirds,35,0,0,0,0,0,0,1.629,-8,https://www.eliteprospects.com/player/26412/kale-kessy
