PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Milo Roelens,Syracuse Crunch,19,0,3,3,0.158,0,0.16,0.684,0,https://www.eliteprospects.com/player/483281/milo-roelens
Kaleb Lawrence,totals,19,0,3,3,0.158,0,0.16,1.316,1,https://www.eliteprospects.com/player/417191/kaleb-lawrence
Jackson Kunz,Abbotsford Canucks,22,0,3,3,0.136,0,0.14,0,-7,https://www.eliteprospects.com/player/550361/jackson-kunz
Bryce Montgomery,Chicago Wolves,22,0,3,3,0.136,0,0.14,1.955,-3,https://www.eliteprospects.com/player/478709/bryce-montgomery
Colin Felix,Providence Bruins,22,0,3,3,0.136,0,0.14,2.864,1,https://www.eliteprospects.com/player/312315/colin-felix
Kevin Connauton,Tucson Roadrunners,26,0,3,3,0.115,0,0.12,1.038,-10,https://www.eliteprospects.com/player/38032/kevin-connauton
Will Zmolek,Iowa Wild,33,0,3,3,0.091,0,0.09,0.242,-4,https://www.eliteprospects.com/player/379104/will-zmolek
Cade Webber,Toronto Marlies,33,0,3,3,0.091,0,0.09,0.545,18,https://www.eliteprospects.com/player/285385/cade-webber
Rasmus Kumpulainen,Iowa Wild,33,0,3,3,0.091,0,0.09,0.667,-7,https://www.eliteprospects.com/player/689399/rasmus-kumpulainen
Max Sasson,Abbotsford Canucks,2,2,0,2,0,1,1,0,2,https://www.eliteprospects.com/player/462545/max-sasson
Ethen Frank,Hershey Bears,3,2,0,2,0,0.667,0.67,0,0,https://www.eliteprospects.com/player/247909/ethen-frank
Kaden Bohlsen,Hershey Bears,5,2,0,2,0,0.4,0.4,0,0,https://www.eliteprospects.com/player/385676/kaden-bohlsen
Kevin Conley,Manitoba Moose,5,2,0,2,0,0.4,0.4,0.4,1,https://www.eliteprospects.com/player/248429/kevin-conley
Logan Mailloux,Springfield Thunderbirds,5,2,0,2,0,0.4,0.4,0.4,-2,https://www.eliteprospects.com/player/582695/logan-mailloux
Reilly Connors,Colorado Eagles,8,2,0,2,0,0.25,0.25,1.375,0,https://www.eliteprospects.com/player/386404/reilly-connors
Yan Kuznetsov,Calgary Wranglers,10,2,0,2,0,0.2,0.2,0.2,5,https://www.eliteprospects.com/player/440410/yan-kuznetsov
Mathieu De St. Phalle,Wilkes-Barre/Scranton Penguins,11,2,0,2,0,0.182,0.18,0.545,-4,https://www.eliteprospects.com/player/283937/mathieu-de-st.-phalle
Blake Biondi,Chicago Wolves,23,2,0,2,0,0.087,0.09,0.304,-5,https://www.eliteprospects.com/player/495919/blake-biondi
Max Dorrington,Bridgeport Islanders,2,1,1,2,0.5,0.5,1,0,1,https://www.eliteprospects.com/player/505134/max-dorrington
Robby Fabbri,Charlotte Checkers,3,1,1,2,0.333,0.333,0.67,0,-4,https://www.eliteprospects.com/player/156923/robby-fabbri
Paul Ludwinski,Rockford IceHogs,3,1,1,2,0.333,0.333,0.67,0.667,-2,https://www.eliteprospects.com/player/603788/paul-ludwinski
Sheldon Rempal,Hershey Bears,4,1,1,2,0.25,0.25,0.5,0.5,-2,https://www.eliteprospects.com/player/142304/sheldon-rempal
Ryan Kirwan,Toronto Marlies,5,1,1,2,0.2,0.2,0.4,0,0,https://www.eliteprospects.com/player/508271/ryan-kirwan
Tom Willander,Abbotsford Canucks,5,1,1,2,0.2,0.2,0.4,0,-5,https://www.eliteprospects.com/player/599426/tom-willander
Nolan Moyle,Grand Rapids Griffins,16,1,1,2,0.062,0.062,0.13,0.938,5,https://www.eliteprospects.com/player/273657/nolan-moyle
Fabian Wagner,Manitoba Moose,23,1,1,2,0.043,0.043,0.09,0.174,-8,https://www.eliteprospects.com/player/448938/fabian-wagner
Riley McKay,Henderson Silver Knights,25,1,1,2,0.04,0.04,0.08,2.6,-9,https://www.eliteprospects.com/player/283832/riley-mckay
Artyom Grushnikov,Calgary Wranglers,51,1,1,2,0.02,0.02,0.04,0.373,0,https://www.eliteprospects.com/player/539222/artyom-grushnikov
Dalton Smith,Hershey Bears,51,1,1,2,0.02,0.02,0.04,1.667,-19,https://www.eliteprospects.com/player/30923/dalton-smith
Luke Kunin,Charlotte Checkers,1,0,2,2,2,0,2,0,1,https://www.eliteprospects.com/player/245278/luke-kunin
Nick Leivermann,Hershey Bears,3,0,2,2,0.667,0,0.67,0,1,https://www.eliteprospects.com/player/344081/nick-leivermann
Yegor Zamula,Lehigh Valley Phantoms,3,0,2,2,0.667,0,0.67,0,-3,https://www.eliteprospects.com/player/398138/yegor-zamula
Elliot Desnoyers,Iowa Wild,9,0,2,2,0.222,0,0.22,0.444,-2,https://www.eliteprospects.com/player/290157/elliot-desnoyers
Tyler Inamoto,Bakersfield Condors,9,0,2,2,0.222,0,0.22,0.667,1,https://www.eliteprospects.com/player/201486/tyler-inamoto
Ethan Frisch,Manitoba Moose,10,0,2,2,0.2,0,0.2,0,2,https://www.eliteprospects.com/player/365031/ethan-frisch
Zac Funk,Hershey Bears,10,0,2,2,0.2,0,0.2,0.8,-2,https://www.eliteprospects.com/player/556514/zac-funk
Ryan O'Rourke,totals,11,0,2,2,0.182,0,0.18,0.364,0,https://www.eliteprospects.com/player/201939/ryan-o-rourke
Dylan Wendt,Utica Comets,12,0,2,2,0.167,0,0.17,0.167,-2,https://www.eliteprospects.com/player/369968/dylan-wendt
Mike Koster,Iowa Wild,13,0,2,2,0.154,0,0.15,0,1,https://www.eliteprospects.com/player/427432/mike-koster
Aidan Fulp,Rochester Americans,13,0,2,2,0.154,0,0.15,0.462,4,https://www.eliteprospects.com/player/315954/aidan-fulp
Phip Waugh,totals,14,0,2,2,0.143,0,0.14,0.143,3,https://www.eliteprospects.com/player/496127/phip-waugh
Scooter Brickey,Wilkes-Barre/Scranton Penguins,16,0,2,2,0.125,0,0.13,0.875,3,https://www.eliteprospects.com/player/284078/scooter-brickey
Calle Odelius,Bridgeport Islanders,17,0,2,2,0.118,0,0.12,0.118,-9,https://www.eliteprospects.com/player/607525/calle-odelius
Chris Harpur,Syracuse Crunch,17,0,2,2,0.118,0,0.12,0.353,2,https://www.eliteprospects.com/player/221153/chris-harpur
Connor Punnett,Texas Stars,18,0,2,2,0.111,0,0.11,0.722,-1,https://www.eliteprospects.com/player/582502/connor-punnett
D.J. King,totals,18,0,2,2,0.111,0,0.11,2.056,3,https://www.eliteprospects.com/player/399239/d.j.-king
Jesse Pulkkinen,Bridgeport Islanders,19,0,2,2,0.105,0,0.11,0.316,-10,https://www.eliteprospects.com/player/709399/jesse-pulkkinen
Simon Mack,Calgary Wranglers,21,0,2,2,0.095,0,0.1,0.095,-3,https://www.eliteprospects.com/player/317518/simon-mack
John Prokop,Toronto Marlies,22,0,2,2,0.091,0,0.09,0.273,-6,https://www.eliteprospects.com/player/437599/john-prokop
Brandon Hickey,Henderson Silver Knights,23,0,2,2,0.087,0,0.09,0.739,-2,https://www.eliteprospects.com/player/64587/brandon-hickey
Ole Julian Bjorgvik-Holm,Cleveland Monsters,29,0,2,2,0.069,0,0.07,0.276,-3,https://www.eliteprospects.com/player/477881/ole-julian-bjorgvik-holm
Yanick Turcotte,Chicago Wolves,34,0,2,2,0.059,0,0.06,3.559,-4,https://www.eliteprospects.com/player/252734/yanick-turcotte
Alex Gallant,Calgary Wranglers,34,0,2,2,0.059,0,0.06,4.324,-5,https://www.eliteprospects.com/player/77308/alex-gallant
Zakhar Bardakov,Colorado Eagles,1,1,0,1,0,1,1,0,1,https://www.eliteprospects.com/player/292101/zakhar-bardakov
